Sydney|31.5546061,74.3571581,215.747665405|2017-05-10T17:58:00|clear|20.7076206402|1007.52152641|67
Brisbane|32.4546061,72.7158134,213.246665405|2017-05-10T17:58:00|clear|18.1176206477|1008.87152641|64
Melbourne|30.2946061,76.3571581,215.677665401|2017-05-10T17:58:00|clear|17.6546206423|1006.98152634|68
Adelaide|33.6546068,71.5571589,214.747665407|2017-05-10T17:58:00|clear|22.3076206401|1005.92152641|69
Bendigo|34.1546061,74.3571511,215.747665405|2017-05-10T17:58:00|clear|19.1076206440|1007.77152666|63
Ballarat|35.2546060,72.4571510,211.147665400|2017-05-10T17:58:00|clear|16.8076206414|1050.12152665|67
Broome|29.8546061,73.5571584,210.77665405|2017-05-10T17:58:00|clear|22.7076206477|1100.72152785|61
Albury|33.7546062,77.6571543,213.847665404|2017-05-10T17:58:00|clear|24.1076206427|1002.52152600|61
Albany|34.5546063,75.7571581,216.347665402|2017-05-10T17:58:00|clear|20.7076206421|1007.22152682|65
Mackay|29.4546061,74.1571582,211.047665405|2017-05-10T17:58:00|clear|21.2076206436|1001.52152641|63
